"","name","position","team","xP","assists","bonus","bps","clean_sheets","creativity","element","expected_assists","expected_goal_involvements","expected_goals","expected_goals_conceded","fixture","goals_conceded","goals_scored","ict_index","influence","kickoff_time","minutes","opponent_team","own_goals","penalties_missed","penalties_saved","red_cards","round","saves","selected","starts","team_a_score","team_h_score","threat","total_points","transfers_balance","transfers_in","transfers_out","value","was_home","yellow_cards","GW"
"9436","Nuno Varela Tavares","DEF","Arsenal",0,0,0,0,0,0,17,0,0,0,0,161,0,0,0,0,"2022-12-26T20:00:00Z",0,19,0,0,0,0,17,0,807,0,1,3,0,0,-10,0,10,45,"True",0,17
"9439","Saman Ghoddos","MID","Brentford",0.5,0,0,3,0,0,87,2e-05,2e-05,0,0.7861,163,1,0,0.8,8.2,"2022-12-26T12:30:00Z",23,18,0,0,0,0,17,0,2599,0,2,2,0,1,-34,110,144,48,"True",0,17
"9440","Arthur Henrique Ramos de Oliveira Melo","MID","Liverpool",0,0,0,0,0,0,620,0,0,0,0,162,0,0,0,0,"2022-12-26T17:30:00Z",0,2,0,0,0,0,17,0,2677,0,3,1,0,0,-115,40,155,48,"False",0,17
"9443","Antony Matheus dos Santos","MID","Man Utd",3.5,0,0,1,1,4.4,609,0.03014,0.50934,0.4792,0.1971,169,0,0,2.4,0,"2022-12-27T20:00:00Z",64,16,0,0,0,0,17,0,473027,1,0,3,20,3,-69634,55675,125309,75,"True",0,17
"9448","Ben Pearson","MID","Bournemouth",-0.4,0,0,0,0,0,68,0,0,0,0,164,0,0,0,0,"2022-12-27T17:30:00Z",0,6,0,0,0,0,17,0,17038,0,0,2,0,0,-1942,171,2113,44,"False",0,17
"9449","Joel Matip","DEF","Liverpool",3,0,0,15,0,0.4,276,0.00457,0.00457,0,1.2996,162,1,0,3.2,31.2,"2022-12-26T17:30:00Z",90,2,0,0,0,0,17,0,86246,1,3,1,0,2,8162,13850,5688,59,"False",0,17
"9452","Fabio Henrique Tavares","MID","Liverpool",3,0,0,13,0,6.8,282,0.01754,0.03834,0.0208,1.2996,162,1,0,2.3,15.6,"2022-12-26T17:30:00Z",90,2,0,0,0,0,17,0,92863,1,3,1,1,2,-1877,2809,4686,53,"False",0,17
"9455","Willy Boly","DEF","Nott'm Forest",0.5,0,0,10,0,0.3,474,0.00541,0.00541,0,2.4712,169,3,0,2.8,21.4,"2022-12-27T20:00:00Z",90,14,0,0,0,0,17,0,19996,1,0,3,6,1,3107,6700,3593,42,"False",0,17
"9458","Mads Roerslev Rasmussen","DEF","Brentford",0.5,0,0,9,0,11.5,90,0.09942,0.09942,0,1.0686,163,2,0,2,4,"2022-12-26T12:30:00Z",90,18,0,0,0,0,17,0,6322,1,2,2,4,1,86,858,772,43,"True",0,17
"9463","Mads Bech Sørensen","DEF","Brentford",0,0,0,0,0,0,91,0,0,0,0,163,0,0,0,0,"2022-12-26T12:30:00Z",0,18,0,0,0,0,17,0,3627,0,2,2,0,0,-120,0,120,45,"True",0,17
"9465","Granit Xhaka","MID","Arsenal",5.5,1,0,22,0,31.9,3,0.07691,0.14841,0.0715,1.0694,161,1,0,8.7,31.8,"2022-12-26T20:00:00Z",90,19,0,0,0,0,17,0,396383,1,1,3,23,5,-28511,88192,116703,51,"True",0,17
"9466","Nathan Bishop","GK","Man Utd",0.5,0,0,0,0,0,656,0,0,0,0,169,0,0,0,0,"2022-12-27T20:00:00Z",0,16,0,0,0,0,17,0,661,0,0,3,0,0,162,325,163,40,"True",0,17
"9467","Lisandro Martínez","DEF","Man Utd",0.2,0,0,0,0,0,533,0,0,0,0,169,0,0,0,0,"2022-12-27T20:00:00Z",0,16,0,0,0,0,17,0,710521,0,0,3,0,0,-66418,163862,230280,45,"True",0,17
"9473","Mohamed Elyounoussi","MID","Southampton",2,0,0,8,0,18.7,406,0.11124,0.33964,0.2284,0.6408,170,3,0,7.2,15.2,"2022-12-26T15:00:00Z",77,5,0,0,0,0,17,0,6799,1,3,1,38,2,24,935,911,52,"True",0,17
"9474","Frank Onyeka","MID","Brentford",-0.5,0,0,0,0,0,93,0,0,0,0,163,0,0,0,0,"2022-12-26T12:30:00Z",0,18,0,0,0,0,17,0,4130,0,2,2,0,0,-113,238,351,48,"True",0,17
