"","name","position","team","xP","assists","bonus","bps","clean_sheets","creativity","element","fixture","goals_conceded","goals_scored","ict_index","influence","kickoff_time","minutes","opponent_team","own_goals","penalties_missed","penalties_saved","red_cards","round","saves","selected","team_a_score","team_h_score","threat","total_points","transfers_balance","transfers_in","transfers_out","value","was_home","yellow_cards","GW"
"4406","Ethan Pinnock","DEF","Brentford",2.7,0,0,19,0,25.8,91,73,1,0,7.5,20.4,"2021-10-16T16:30:00Z",90,6,0,0,0,0,8,0,549052,1,0,29,2,45106,65733,20627,46,"True",0,8
"4408","Vitaly Janelt","MID","Brentford",1.7,0,0,0,0,0,84,73,0,0,0,0,"2021-10-16T16:30:00Z",0,6,0,0,0,0,8,0,22680,1,0,0,0,-5080,2822,7902,50,"True",0,8
"4411","Bryan Mbeumo","MID","Brentford",3,0,0,4,0,8.3,96,73,1,0,2.8,6,"2021-10-16T16:30:00Z",90,6,0,0,0,0,8,0,213236,1,0,14,2,125917,150224,24307,55,"True",0,8
"4424","William Saliba","DEF","Arsenal",0,0,0,0,0,0,27,71,0,0,0,0,"2021-10-18T19:00:00Z",0,7,0,0,0,0,8,0,223,2,2,0,0,0,0,0,45,"True",0,8
"4429","Alisson Ramses Becker","GK","Liverpool",0,0,0,0,0,0,231,80,0,0,0,0,"2021-10-16T11:30:00Z",0,18,0,0,0,0,8,0,649529,5,0,0,0,-80036,22591,102627,60,"False",0,8
"4439","Yan Valery","DEF","Southampton",0,0,0,0,0,0,546,79,0,0,0,0,"2021-10-16T14:00:00Z",0,10,0,0,0,0,8,0,44806,0,1,0,0,-1323,677,2000,40,"True",0,8
"4440","Charlie Goode","DEF","Brentford",-1,0,0,0,0,0,87,73,0,0,0,0,"2021-10-16T16:30:00Z",0,6,0,0,0,0,8,0,172297,1,0,0,0,-2160,8255,10415,39,"True",0,8
"4442","Pelenda Joshua Dasilva","MID","Brentford",0,0,0,0,0,0,82,73,0,0,0,0,"2021-10-16T16:30:00Z",0,6,0,0,0,0,8,0,801,1,0,0,0,-31,27,58,54,"True",0,8
"4445","Nathaniel Phillips","DEF","Liverpool",1.5,0,0,0,0,0,241,80,0,0,0,0,"2021-10-16T11:30:00Z",0,18,0,0,0,0,8,0,15256,5,0,0,0,-516,251,767,43,"False",0,8
"4446","Adam Armstrong","FWD","Southampton",1.3,0,0,0,0,0,525,79,0,0,0,0,"2021-10-16T14:00:00Z",0,10,0,0,0,0,8,0,260538,0,1,0,0,39026,74655,35629,60,"True",0,8
